11:49:15 [SESSION] logging to C:\Users\user\Documents\avigilon-ptz-dashboard\backend\logs\session-20260714-114915-9556.log
11:57:43 [DETECT] inference took 0.23s
11:57:44 [DETECT] inference took 0.30s
11:57:45 [DETECT] inference took 0.22s
11:57:46 [DETECT] inference took 0.23s
11:57:47 [DETECT] inference took 0.22s
11:57:48 [DETECT] inference took 0.23s
11:57:49 [DETECT] inference took 0.48s
11:57:50 [DETECT] inference took 0.22s
11:57:51 [DETECT] inference took 0.22s
11:57:52 [DETECT] inference took 0.22s
11:57:53 [DETECT] inference took 0.22s
11:57:54 [DETECT] inference took 0.22s
11:57:55 [DETECT] inference took 0.22s
11:57:56 [DETECT] inference took 0.22s
11:57:57 [DETECT] inference took 0.23s
11:57:58 [DETECT] inference took 0.23s
11:57:59 [DETECT] inference took 0.22s
11:58:00 [DETECT] inference took 0.22s
11:58:01 [DETECT] inference took 0.23s
11:58:02 [DETECT] inference took 0.22s
11:58:03 [DETECT] inference took 0.20s
11:58:04 [DETECT] inference took 0.22s
11:58:05 [DETECT] inference took 0.22s
11:58:06 [DETECT] inference took 0.23s
11:58:07 [DETECT] inference took 0.22s
11:58:08 [DETECT] inference took 0.23s
11:58:09 [DETECT] inference took 0.22s
11:58:10 [DETECT] inference took 0.22s
11:58:11 [DETECT] inference took 0.25s
11:58:12 [DETECT] inference took 0.23s
11:58:13 [DETECT] inference took 0.22s
11:58:14 [DETECT] inference took 0.20s
11:58:15 [DETECT] inference took 0.34s
11:58:16 [DETECT] inference took 0.23s
11:58:17 [DETECT] inference took 0.22s
11:58:18 [DETECT] inference took 0.22s
11:58:19 [DETECT] inference took 0.22s
11:58:20 [DETECT] inference took 0.28s
11:58:21 [DETECT] inference took 0.23s
11:58:22 [DETECT] inference took 0.20s
11:58:23 [DETECT] inference took 0.22s
11:58:24 [DETECT] inference took 0.22s
11:58:25 [DETECT] inference took 0.22s
11:58:26 [DETECT] inference took 0.30s
11:58:27 [DETECT] inference took 0.22s
11:58:28 [DETECT] inference took 0.20s
11:58:29 [DETECT] inference took 0.39s
11:58:30 [DETECT] inference took 0.28s
11:58:31 [DETECT] inference took 0.31s
11:58:32 [DETECT] inference took 0.27s
11:58:33 [DETECT] inference took 0.22s
11:58:34 [DETECT] inference took 0.31s
11:58:35 [DETECT] inference took 0.25s
11:58:36 [DETECT] inference took 0.23s
11:58:37 [DETECT] inference took 0.22s
11:58:38 [DETECT] inference took 0.22s
11:58:39 [DETECT] inference took 0.22s
11:58:40 [DETECT] inference took 0.22s
11:58:41 [DETECT] inference took 0.22s
11:58:42 [DETECT] inference took 0.22s
11:58:43 [DETECT] inference took 0.30s
11:58:44 [DETECT] inference took 0.22s
11:58:45 [DETECT] inference took 0.25s
11:58:46 [DETECT] inference took 0.34s
11:58:47 [DETECT] inference took 0.20s
11:58:48 [DETECT] inference took 0.22s
11:58:49 [DETECT] inference took 0.22s
11:58:50 [DETECT] inference took 0.22s
11:58:51 [DETECT] inference took 0.31s
11:58:52 [DETECT] inference took 0.20s
11:58:53 [DETECT] inference took 0.22s
11:58:54 [DETECT] inference took 0.22s
11:58:55 [DETECT] inference took 0.22s
11:58:56 [DETECT] inference took 0.20s
11:58:57 [DETECT] inference took 0.22s
11:58:58 [DETECT] inference took 0.22s
11:58:59 [DETECT] inference took 0.23s
11:59:00 [DETECT] inference took 0.25s
11:59:01 [DETECT] inference took 0.22s
11:59:02 [DETECT] inference took 0.22s
11:59:03 [DETECT] inference took 0.22s
11:59:04 [DETECT] inference took 0.22s
11:59:05 [DETECT] inference took 0.22s
11:59:06 [DETECT] inference took 0.30s
11:59:07 [DETECT] inference took 0.22s
11:59:08 [DETECT] inference took 0.22s
11:59:09 [DETECT] inference took 0.22s
11:59:10 [DETECT] inference took 0.22s
11:59:11 [DETECT] inference took 0.25s
11:59:12 [DETECT] inference took 0.23s
11:59:13 [DETECT] inference took 0.20s
11:59:14 [DETECT] inference took 0.23s
11:59:15 [DETECT] inference took 0.22s
11:59:16 [DETECT] inference took 0.22s
11:59:17 [DETECT] inference took 0.34s
11:59:18 [DETECT] inference took 0.20s
11:59:19 [DETECT] inference took 0.24s
11:59:20 [DETECT] inference took 0.22s
11:59:21 [DETECT] inference took 0.22s
11:59:22 [DETECT] inference took 0.22s
11:59:23 [DETECT] inference took 0.22s
11:59:24 [DETECT] inference took 0.20s
11:59:25 [DETECT] inference took 0.22s
11:59:26 [DETECT] inference took 0.20s
11:59:27 [DETECT] inference took 0.20s
11:59:28 [DETECT] inference took 0.20s
11:59:29 [DETECT] inference took 0.22s
11:59:30 [DETECT] inference took 0.22s
11:59:31 [DETECT] inference took 0.22s
11:59:32 [DETECT] inference took 0.20s
11:59:33 [DETECT] inference took 0.22s
11:59:34 [DETECT] inference took 0.66s
11:59:35 [DETECT] inference took 0.24s
11:59:36 [DETECT] inference took 0.24s
11:59:37 [DETECT] inference took 0.22s
11:59:38 [DETECT] inference took 0.24s
11:59:39 [DETECT] inference took 0.22s
11:59:40 [DETECT] inference took 0.23s
11:59:41 [DETECT] inference took 0.23s
11:59:42 [DETECT] inference took 0.22s
11:59:43 [DETECT] inference took 0.27s
11:59:44 [DETECT] inference took 0.22s
11:59:45 [DETECT] inference took 0.23s
11:59:46 [DETECT] inference took 0.20s
11:59:47 [DETECT] inference took 0.22s
11:59:48 [DETECT] inference took 0.36s
11:59:49 [DETECT] inference took 0.23s
11:59:50 [DETECT] inference took 0.23s
11:59:51 [DETECT] inference took 0.22s
11:59:52 [DETECT] inference took 0.20s
11:59:53 [DETECT] inference took 0.22s
11:59:54 [DETECT] inference took 0.22s
11:59:55 [DETECT] inference took 0.22s
11:59:56 [DETECT] inference took 0.20s
11:59:57 [DETECT] inference took 0.22s
11:59:58 [DETECT] inference took 0.20s
11:59:59 [DETECT] inference took 0.22s
12:00:00 [DETECT] inference took 0.22s
12:00:01 [DETECT] inference took 0.22s
12:00:02 [DETECT] inference took 0.20s
12:00:03 [DETECT] inference took 0.22s
12:00:04 [DETECT] inference took 0.23s
12:00:05 [DETECT] inference took 0.23s
12:00:06 [DETECT] inference took 0.22s
12:00:07 [DETECT] inference took 0.22s
12:00:08 [DETECT] inference took 0.22s
12:00:09 [DETECT] inference took 0.23s
12:00:10 [DETECT] inference took 0.23s
12:00:11 [DETECT] inference took 0.20s
12:00:12 [DETECT] inference took 0.22s
12:00:13 [DETECT] inference took 0.22s
12:00:14 [DETECT] inference took 0.30s
12:00:15 [DETECT] inference took 0.22s
12:00:16 [DETECT] inference took 0.22s
12:00:17 [DETECT] inference took 0.27s
12:00:18 [DETECT] inference took 0.22s
12:00:19 [DETECT] inference took 0.36s
12:00:20 [DETECT] inference took 0.22s
12:00:21 [DETECT] inference took 0.22s
12:00:22 [DETECT] inference took 0.22s
12:00:23 [DETECT] inference took 0.20s
12:00:24 [DETECT] inference took 0.22s
12:00:25 [DETECT] inference took 0.22s
12:00:26 [DETECT] inference took 0.22s
12:00:27 [DETECT] inference took 0.22s
12:00:28 [DETECT] inference took 0.22s
12:00:29 [DETECT] inference took 0.20s
12:00:30 [DETECT] inference took 0.22s
12:00:31 [DETECT] inference took 0.23s
12:00:32 [DETECT] inference took 0.20s
12:00:33 [DETECT] inference took 0.23s
12:00:34 [DETECT] inference took 0.23s
12:00:35 [DETECT] inference took 0.20s
12:00:36 [DETECT] inference took 0.22s
12:00:37 [DETECT] inference took 0.20s
12:00:38 [DETECT] inference took 0.22s
12:00:39 [DETECT] inference took 0.22s
12:00:40 [DETECT] inference took 0.25s
12:00:41 [DETECT] inference took 0.22s
12:00:42 [DETECT] inference took 0.23s
12:00:43 [DETECT] inference took 0.20s
12:00:44 [DETECT] inference took 0.22s
12:00:45 [DETECT] inference took 0.34s
12:00:46 [DETECT] inference took 0.20s
12:00:47 [DETECT] inference took 0.20s
12:00:48 [DETECT] inference took 0.22s
12:00:49 [DETECT] inference took 0.20s
12:00:50 [DETECT] inference took 0.28s
12:00:51 [DETECT] inference took 0.22s
12:00:52 [DETECT] inference took 0.20s
12:00:53 [DETECT] inference took 0.22s
12:00:54 [DETECT] inference took 0.23s
12:00:55 [DETECT] inference took 0.20s
12:00:56 [DETECT] inference took 0.20s
12:00:57 [DETECT] inference took 0.22s
12:00:58 [DETECT] inference took 0.23s
12:00:59 [DETECT] inference took 0.22s
12:01:00 [DETECT] inference took 0.22s
12:01:01 [DETECT] inference took 0.23s
12:01:02 [DETECT] inference took 0.22s
12:01:03 [DETECT] inference took 0.22s
12:01:04 [DETECT] inference took 0.22s
12:01:05 [DETECT] inference took 0.22s
12:01:06 [DETECT] inference took 0.22s
12:01:07 [DETECT] inference took 0.22s
12:01:08 [DETECT] inference took 0.20s
12:01:09 [DETECT] inference took 0.22s
12:01:10 [DETECT] inference took 0.22s
12:01:11 [DETECT] inference took 0.30s
12:01:12 [DETECT] inference took 0.22s
12:01:13 [DETECT] inference took 0.22s
12:01:14 [DETECT] inference took 0.22s
12:01:15 [DETECT] inference took 0.22s
12:01:16 [DETECT] inference took 0.34s
12:01:17 [DETECT] inference took 0.22s
12:01:18 [DETECT] inference took 0.22s
12:01:19 [DETECT] inference took 0.23s
12:01:20 [DETECT] inference took 0.20s
12:01:21 [DETECT] inference took 0.22s
12:01:22 [DETECT] inference took 0.22s
12:01:23 [DETECT] inference took 0.20s
12:01:24 [DETECT] inference took 0.22s
12:01:25 [DETECT] inference took 0.20s
12:01:26 [DETECT] inference took 0.22s
12:01:27 [DETECT] inference took 0.22s
12:01:28 [DETECT] inference took 0.20s
12:01:29 [DETECT] inference took 0.22s
12:01:30 [DETECT] inference took 0.22s
12:01:31 [DETECT] inference took 0.27s
12:01:32 [DETECT] inference took 0.22s
12:01:33 [DETECT] inference took 0.22s
12:01:34 [DETECT] inference took 0.22s
12:01:35 [DETECT] inference took 0.22s
12:01:36 [DETECT] inference took 0.20s
12:01:37 [DETECT] inference took 0.23s
12:01:38 [DETECT] inference took 0.20s
12:01:39 [DETECT] inference took 0.23s
12:01:40 [DETECT] inference took 0.22s
12:01:41 [DETECT] inference took 0.22s
12:01:42 [DETECT] inference took 0.33s
12:01:43 [DETECT] inference took 0.22s
12:01:44 [DETECT] inference took 0.23s
12:01:45 [DETECT] inference took 0.23s
12:01:46 [DETECT] inference took 0.22s
12:01:47 [DETECT] inference took 0.30s
12:01:48 [DETECT] inference took 0.23s
12:01:49 [DETECT] inference took 0.22s
12:01:50 [DETECT] inference took 0.22s
12:01:51 [DETECT] inference took 0.22s
12:01:52 [DETECT] inference took 0.20s
12:01:53 [DETECT] inference took 0.22s
12:01:54 [DETECT] inference took 0.20s
12:01:55 [DETECT] inference took 0.22s
12:01:56 [DETECT] inference took 0.22s
12:01:57 [DETECT] inference took 0.20s
12:01:58 [DETECT] inference took 0.20s
12:01:59 [DETECT] inference took 0.22s
12:02:00 [DETECT] inference took 0.23s
12:02:01 [DETECT] inference took 0.20s
12:02:02 [DETECT] inference took 0.20s
12:02:03 [DETECT] inference took 0.22s
12:02:04 [DETECT] inference took 0.22s
12:02:05 [DETECT] inference took 0.20s
12:02:06 [DETECT] inference took 0.22s
12:02:07 [DETECT] inference took 0.20s
12:02:08 [DETECT] inference took 0.20s
12:02:09 [DETECT] inference took 0.22s
12:02:10 [DETECT] inference took 0.22s
12:02:11 [DETECT] inference took 0.20s
12:02:12 [DETECT] inference took 0.20s
12:02:13 [DETECT] inference took 0.34s
12:02:14 [DETECT] inference took 0.20s
12:02:15 [DETECT] inference took 0.20s
12:02:16 [DETECT] inference took 0.20s
12:02:17 [DETECT] inference took 0.22s
12:02:18 [DETECT] inference took 0.27s
12:02:19 [DETECT] inference took 0.20s
12:02:20 [DETECT] inference took 0.20s
12:02:21 [DETECT] inference took 0.22s
12:02:22 [DETECT] inference took 0.20s
12:02:23 [DETECT] inference took 0.20s
12:02:24 [DETECT] inference took 0.31s
12:02:25 [DETECT] inference took 0.22s
12:02:26 [DETECT] inference took 0.20s
12:02:27 [DETECT] inference took 0.22s
12:02:28 [DETECT] inference took 0.20s
12:02:29 [DETECT] inference took 0.22s
12:02:30 [DETECT] inference took 0.22s
12:02:31 [DETECT] inference took 0.20s
12:02:32 [DETECT] inference took 0.25s
12:02:33 [DETECT] inference took 0.22s
12:02:34 [DETECT] inference took 0.20s
12:02:35 [DETECT] inference took 0.22s
12:02:36 [DETECT] inference took 0.20s
12:02:37 [DETECT] inference took 0.20s
12:02:38 [DETECT] inference took 0.20s
12:02:39 [DETECT] inference took 0.24s
12:02:40 [DETECT] inference took 0.20s
12:02:41 [DETECT] inference took 0.22s
12:02:42 [DETECT] inference took 0.22s
12:02:43 [DETECT] inference took 0.20s
12:02:44 [DETECT] inference took 0.34s
12:02:45 [DETECT] inference took 0.27s
12:02:46 [DETECT] inference took 0.24s
12:02:47 [DETECT] inference took 0.22s
12:02:48 [DETECT] inference took 0.22s
12:02:49 [DETECT] inference took 0.24s
12:02:50 [DETECT] inference took 0.30s
12:02:51 [DETECT] inference took 0.22s
12:02:52 [DETECT] inference took 0.22s
12:02:53 [DETECT] inference took 0.20s
12:02:54 [DETECT] inference took 0.24s
12:02:55 [DETECT] inference took 0.36s
12:02:56 [DETECT] inference took 0.20s
12:02:57 [DETECT] inference took 0.20s
12:02:58 [DETECT] inference took 0.20s
12:02:59 [DETECT] inference took 0.20s
12:03:00 [DETECT] inference took 0.22s
12:03:01 [DETECT] inference took 0.20s
12:03:02 [DETECT] inference took 0.20s
12:03:03 [DETECT] inference took 0.20s
12:03:04 [DETECT] inference took 0.20s
12:03:05 [DETECT] inference took 0.22s
12:03:06 [DETECT] inference took 0.20s
12:03:07 [DETECT] inference took 0.22s
12:03:08 [DETECT] inference took 0.28s
12:03:09 [DETECT] inference took 0.24s
12:03:10 [DETECT] inference took 0.39s
12:03:11 [DETECT] inference took 0.22s
12:03:12 [DETECT] inference took 0.20s
12:03:13 [DETECT] inference took 0.25s
12:03:14 [DETECT] inference took 0.22s
12:03:15 [DETECT] inference took 0.34s
12:03:16 [DETECT] inference took 0.22s
12:03:17 [DETECT] inference took 0.20s
12:03:18 [DETECT] inference took 0.25s
12:03:19 [DETECT] inference took 0.20s
12:03:20 [DETECT] inference took 0.22s
12:03:21 [DETECT] inference took 0.27s
12:03:22 [DETECT] inference took 0.22s
12:03:23 [DETECT] inference took 0.22s
12:03:24 [DETECT] inference took 0.22s
12:03:25 [DETECT] inference took 0.22s
12:03:26 [DETECT] inference took 0.22s
12:03:27 [DETECT] inference took 0.22s
12:03:28 [DETECT] inference took 0.24s
12:03:30 [DETECT] inference took 1.14s
12:03:32 [DETECT] inference took 1.30s
12:03:32 [DETECT] inference took 0.61s
12:03:33 [DETECT] inference took 0.42s
12:03:34 [DETECT] inference took 0.22s
12:03:35 [DETECT] inference took 0.25s
12:03:36 [DETECT] inference took 0.27s
12:03:37 [DETECT] inference took 0.23s
12:03:38 [DETECT] inference took 0.22s
12:03:39 [DETECT] inference took 0.23s
12:03:40 [DETECT] inference took 0.94s
12:03:41 [DETECT] inference took 0.42s
12:03:42 [DETECT] inference took 0.41s
12:03:43 [DETECT] inference took 0.23s
12:03:44 [DETECT] inference took 0.23s
12:03:45 [DETECT] inference took 0.23s
12:03:46 [DETECT] inference took 0.23s
12:03:47 [DETECT] inference took 0.23s
12:03:48 [DETECT] inference took 0.33s
12:03:49 [DETECT] inference took 0.28s
12:03:50 [DETECT] inference took 0.61s
12:03:51 [DETECT] inference took 0.23s
12:03:52 [DETECT] inference took 0.23s
12:03:53 [DETECT] inference took 0.23s
12:03:54 [DETECT] inference took 0.23s
12:03:55 [DETECT] inference took 0.23s
12:03:56 [DETECT] inference took 0.28s
12:03:57 [DETECT] inference took 0.23s
12:03:58 [DETECT] inference took 0.22s
12:03:59 [DETECT] inference took 0.23s
12:04:00 [DETECT] inference took 0.22s
12:04:01 [DETECT] inference took 0.23s
12:04:02 [DETECT] inference took 0.22s
12:04:03 [DETECT] inference took 0.25s
12:04:04 [DETECT] inference took 0.23s
12:04:05 [DETECT] inference took 0.23s
12:04:06 [DETECT] inference took 0.22s
12:04:07 [DETECT] inference took 0.22s
12:04:08 [DETECT] inference took 0.38s
12:04:09 [DETECT] inference took 0.22s
12:04:10 [DETECT] inference took 0.22s
12:04:11 [DETECT] inference took 0.23s
12:04:12 [DETECT] inference took 0.22s
12:04:13 [DETECT] inference took 0.39s
12:04:14 [DETECT] inference took 0.28s
12:04:15 [DETECT] inference took 0.23s
12:04:16 [DETECT] inference took 0.23s
12:04:17 [DETECT] inference took 0.38s
12:04:18 [DETECT] inference took 0.25s
12:04:19 [DETECT] inference took 0.25s
12:04:20 [DETECT] inference took 0.24s
12:04:21 [DETECT] inference took 0.27s
12:04:22 [DETECT] inference took 0.24s
12:04:23 [DETECT] inference took 0.25s
12:04:24 [DETECT] inference took 0.33s
12:04:25 [DETECT] inference took 0.28s
12:04:26 [DETECT] inference took 0.30s
12:04:27 [DETECT] inference took 0.24s
12:04:28 [DETECT] inference took 0.24s
12:04:29 [DETECT] inference took 0.25s
12:04:30 [DETECT] inference took 0.22s
12:04:31 [DETECT] inference took 0.24s
12:04:32 [DETECT] inference took 0.24s
12:04:33 [DETECT] inference took 0.24s
12:04:34 [DETECT] inference took 0.28s
12:04:35 [DETECT] inference took 0.25s
12:04:36 [DETECT] inference took 0.27s
12:04:37 [DETECT] inference took 0.25s
12:04:38 [DETECT] inference took 0.47s
12:04:39 [DETECT] inference took 0.23s
12:04:40 [DETECT] inference took 0.22s
12:04:41 [DETECT] inference took 0.23s
12:04:42 [DETECT] inference took 0.23s
12:04:43 [DETECT] inference took 0.23s
12:04:44 [DETECT] inference took 0.25s
12:04:45 [DETECT] inference took 0.23s
12:04:46 [DETECT] inference took 0.23s
12:04:47 [DETECT] inference took 0.25s
12:04:48 [DETECT] inference took 0.25s
12:04:49 [DETECT] inference took 0.25s
12:04:50 [DETECT] inference took 0.23s
12:04:51 [DETECT] inference took 0.22s
12:04:52 [DETECT] inference took 0.23s
12:04:53 [DETECT] inference took 0.25s
12:04:54 [DETECT] inference took 0.25s
12:04:55 [DETECT] inference took 0.23s
12:04:56 [DETECT] inference took 0.23s
12:04:57 [DETECT] inference took 0.22s
12:04:58 [DETECT] inference took 0.23s
12:04:59 [DETECT] inference took 0.38s
12:05:00 [DETECT] inference took 0.22s
12:05:01 [DETECT] inference took 0.25s
12:05:02 [DETECT] inference took 0.23s
12:05:03 [DETECT] inference took 0.23s
12:05:04 [DETECT] inference took 0.31s
12:05:05 [DETECT] inference took 0.23s
12:05:06 [DETECT] inference took 0.23s
12:05:07 [DETECT] inference took 0.25s
12:05:08 [DETECT] inference took 0.23s
12:05:10 [DETECT] inference took 1.66s
12:05:11 [DETECT] inference took 0.31s
12:05:11 [DETECT] inference took 0.22s
12:05:12 [DETECT] inference took 0.22s
12:05:13 [DETECT] inference took 0.23s
12:05:14 [DETECT] inference took 0.23s
12:05:15 [DETECT] inference took 0.22s
12:05:16 [DETECT] inference took 0.23s
12:05:17 [DETECT] inference took 0.23s
12:05:19 [DETECT] inference took 0.28s
12:05:19 [DETECT] inference took 0.22s
12:05:20 [DETECT] inference took 0.23s
12:05:21 [DETECT] inference took 0.22s
12:05:22 [DETECT] inference took 0.22s
12:05:23 [DETECT] inference took 0.23s
12:05:24 [DETECT] inference took 0.22s
12:05:26 [DETECT] inference took 0.36s
12:05:27 [DETECT] inference took 0.33s
12:05:27 [DETECT] inference took 0.22s
12:05:28 [DETECT] inference took 0.23s
12:05:29 [DETECT] inference took 0.23s
12:05:30 [DETECT] inference took 0.22s
12:05:31 [DETECT] inference took 0.25s
12:05:32 [DETECT] inference took 0.22s
12:05:33 [DETECT] inference took 0.23s
12:05:34 [DETECT] inference took 0.22s
12:05:35 [DETECT] inference took 0.22s
